table_name,column_name,data_type,is_required,primary_key,optional,empty_is_na,min_cell_count,is_vocabulary_table,never_incremental
cohort,cohort_id,bigint,Yes,Yes,No,Yes,No,No,No
cohort,cohort_name,varchar,Yes,No,No,Yes,No,No,No
cohort,metadata,varchar,No,No,Yes,Yes,No,No,No
cohort,json,varchar,No,No,Yes,Yes,No,No,No
cohort,sql,varchar,Yes,No,No,Yes,No,No,No
cohort,subset_parent,bigint,No,No,Yes,Yes,No,No,No
cohort,subset_definition_id,bigint,No,No,Yes,Yes,No,No,No
cohort,is_subset,int,No,No,Yes,Yes,No,No,No
cohort_count,cohort_id,bigint,Yes,Yes,No,Yes,No,No,No
cohort_count,cohort_entries,float,Yes,No,No,Yes,Yes,No,No
cohort_count,cohort_subjects,float,Yes,No,No,Yes,Yes,No,No
cohort_count,database_id,varchar,Yes,Yes,No,Yes,No,No,No
database,database_id,varchar,Yes,Yes,No,Yes,No,No,No
database,database_name,varchar,No,No,No,Yes,No,No,No
database,description,varchar,No,No,No,Yes,No,No,No
database,is_meta_analysis,varchar(1),Yes,No,No,Yes,No,No,No
database,vocabulary_version,varchar,No,No,Yes,Yes,No,No,No
database,vocabulary_version_cdm,varchar,No,No,Yes,Yes,No,No,No
incidence_rate,cohort_count,float,Yes,No,No,Yes,Yes,No,No
incidence_rate,person_years,float,Yes,No,No,Yes,Yes,No,No
incidence_rate,gender,varchar,No,Yes,No,No,No,No,No
incidence_rate,age_group,varchar,No,Yes,No,No,No,No,No
incidence_rate,calendar_year,varchar(4),No,Yes,No,No,No,No,No
incidence_rate,incidence_rate,float,Yes,No,No,Yes,No,No,No
incidence_rate,cohort_id,bigint,Yes,Yes,No,Yes,No,No,No
incidence_rate,database_id,varchar,Yes,Yes,No,Yes,No,No,No
metadata,database_id,varchar,Yes,Yes,No,Yes,No,No,No
metadata,start_time,varchar,No,Yes,No,Yes,No,No,No
metadata,variable_field,varchar,Yes,Yes,No,Yes,No,No,No
metadata,value_field,varchar,Yes,No,No,Yes,No,No,No
