table_name,column_name,data_type,is_required,primary_key,optional,empty_is_na,min_cell_count,is_vocabulary_table,never_incremental
cohort,cohort_id,bigint,Yes,Yes,No,Yes,No,No,No
cohort,cohort_name,varchar,Yes,No,No,Yes,No,No,No
cohort,metadata,varchar,No,No,Yes,Yes,No,No,No
cohort,json,varchar,No,No,Yes,Yes,No,No,No
cohort,sql,varchar,Yes,No,No,Yes,No,No,No
cohort,subset_parent,bigint,No,No,Yes,Yes,No,No,No
cohort,subset_definition_id,bigint,No,No,Yes,Yes,No,No,No
cohort,is_subset,int,No,No,Yes,Yes,No,No,No
database,database_id,varchar,Yes,Yes,No,Yes,No,No,No
database,database_name,varchar,No,No,No,Yes,No,No,No
database,description,varchar,No,No,No,Yes,No,No,No
database,is_meta_analysis,varchar(1),Yes,No,No,Yes,No,No,No
database,vocabulary_version,varchar,No,No,Yes,Yes,No,No,No
database,vocabulary_version_cdm,varchar,No,No,Yes,Yes,No,No,No
temporal_analysis_ref,analysis_id,int,Yes,Yes,No,Yes,No,No,No
temporal_analysis_ref,analysis_name,varchar,Yes,No,No,Yes,No,No,No
temporal_analysis_ref,domain_id,varchar(20),Yes,Yes,No,Yes,No,No,No
temporal_analysis_ref,is_binary,varchar(1),Yes,No,No,Yes,No,No,No
temporal_analysis_ref,missing_means_zero,varchar(1),No,No,No,Yes,No,No,No
temporal_covariate_ref,covariate_id,bigint,Yes,Yes,No,Yes,No,No,No
temporal_covariate_ref,covariate_name,varchar,Yes,No,No,Yes,No,No,No
temporal_covariate_ref,analysis_id,int,Yes,No,No,Yes,No,No,No
temporal_covariate_ref,concept_id,bigint,Yes,No,No,Yes,No,No,No
temporal_covariate_timecodewas,database_id,varchar,Yes,Yes,No,Yes,No,No,No
temporal_covariate_timecodewas,covariate_id,bigint,Yes,Yes,No,Yes,No,No,No
temporal_covariate_timecodewas,time_id,int,No,Yes,Yes,Yes,No,No,No
temporal_covariate_timecodewas,n_cases_yes,int,Yes,No,No,Yes,Yes,No,No
temporal_covariate_timecodewas,n_controls_yes,int,Yes,No,No,Yes,Yes,No,No
temporal_covariate_timecodewas,n_cases_no,int,Yes,No,No,Yes,Yes,No,No
temporal_covariate_timecodewas,n_controls_no,int,Yes,No,No,Yes,Yes,No,No
temporal_covariate_timecodewas,p_value,float,Yes,No,No,Yes,No,No,No
temporal_covariate_timecodewas,odds_ratio,float,Yes,No,No,Yes,No,No,No
temporal_time_ref,time_id,int,Yes,Yes,No,Yes,No,No,No
temporal_time_ref,start_day,float,Yes,No,No,Yes,No,No,No
temporal_time_ref,end_day,float,Yes,No,No,Yes,No,No,No
